Departamento,Tipo,Mensagem
Comercial,Planos,"
🥉Hilink Fibra 200
Velocidade de até 200 MEGA
+ Um serviço digital à sua escolha
R$ 69,90

🥈Hilink Fibra 500
Velocidade de até 500 MEGA
+ Um serviço digital à sua escolha
R$ 79,90

🥇Hilink Fibra 500 - Com ONT em comodato
Velocidade de até 500 MEGA
+ Um serviço digital à sua escolha
R$ 99,90"
Comercial,Planos_digitais,"🥉Hilink Fibra 100
Velocidade de até 100 MEGA
+ Um serviço digital à sua escolha
R$ 59,90

🥈Hilink Fibra 200
Velocidade de até 200 MEGA
+ Um serviço digital à sua escolha
R$ 69,90

🥇Hilink Fibra 500 - Com ONT em comodato
Velocidade de até 500 MEGA
+ Um serviço digital à sua escolha
R$ 79,90

🥉Hilink Cabo UTP 
Velocidade de até 30 MEGAS
R$ 50,00"
Comercial,Dados_cadastro,"Nos envie os dados solicitados abaixo, para agendar sua ativação

✒️ Nome completo: 
📄 CPF e RG: 
🥳 Data de Nascimento: 
📍 Endereço (com nº, CEP e ponto de referência): 
✉️ E-mail:
📞Telefone:
📱 Celular: 
📶 Plano escolhido: 
🗓️ Data de vencimento: pode ser dia  10 - 20 - 30"
Comercial,Informacoes,"⚠️ Deixa eu te passar algumas informações importantes:

O nosso contrato é contínuo com pagamento antecipado. Após a instalação será enviado um boleto para pagamento no valor do plano contratado. O boleto deverá ser pago em até 48 horas úteis a partir da data da instalação.

A ONU, equipamento de fibra óptica, é disponibilizado em comodato, e será recolhido no caso de cancelamento. A não devolução do equipamento acarretará na cobrada de uma taxa de R$ 200 (duzentos reais).

Não paga a instalação, enviamos apenas boleto com o valor do plano que esse boleto deve ser pago até 48 horas"
Comercial,Playhub,"O aplicativo pode ser um desses abaixo: 📲
A cada dia 01 de cada mês, você pode alterar seu serviço digital.

▪️ LOOKE,
▪️ DEEZER,
▪️ HUBE REVISTAS,
▪️ UBOOK+,
▪️ TAP LINGO,
▪️ FUZE FORGE,
▪️ PLAYKIDS,
▪️ TO AQUI,
▪️ CLUBE DE CIÊNCIAS,
▪️ POCOYO,
▪️ GALINHA PINTADINHA,
▪️ QNUTRI,
▪️ KIS - Kaspersky Internet Security,
▪️ UBOOK NEWS,
▪️ REFORÇA,
▪️ SOCIAL COMICS, 
▪️ MAIA, 
▪️ FLUID,
▪️ HUB VANTAGENS
▪️ FUZE FORGE"
Suporte,OS,"Equipamentos desligados por 2 min, sem sucesso.
Luzes acessas
Luz vermelha ( ) SIM  ( ) NÂO
Sinal da ONU: 
Consegue visualizar nome de seu wifi. 
Foto em anexo:
Ponto de referencia: 
Contato:
(Cliente ciente do prazo de 24H)"
Suporte,Teste_velocidade,"Por Favor Desligue seus equipamentos na tomada, aguarde 5 minutos e ligue novamente
em seguida acesse o link 

https://www.speedtest.net/pt

 e faça o teste de velocidade
realize o teste próximo ao seu roteador e com apenas seu equipamento conectado ao wi-fi e na rede 5G
 me envie o print do teste de velocidade pra que eu verifique quanto está chegando"
Suporte,Teste_loss,"
Por gentileza realize os teste abaixo, e nos informe:

- desligue os equipamentos da tomada por 2min
- verifique se tem alguma luz vermelha em seu equipamento
- nos envie uma foto de seu equipamento
- Você consegue visualizar o nome de seu wifi ?"
Suporte,Abrir_chamado,"Será aberto um chamado técnico, por gentileza nos informe telefone para contato e ponto de referencia proximo de sua casa."
Suporte,Chamado_agendado,"Seu chamado foi colocado em agendamento, o prazo máximo é de 24 horas. No entanto, nossa equipe estará fazendo possível para ser resolvido quanto antes.
Te ajudo com mais alguma informação?"
Suporte,Chamado_anatel,"Seu chamado está aberto, conforme a Anatel, o prazo de resolução é de 24 a 48H. Nossa equipe está fazendo possível para ser resolvido quanto antes.
Te ajudo com mais alguma informação?"
